source_persona_id,target_persona_id,relation_type,confidence_weight
P-65aec1c970d5,P-3db2ba023d6c,SHARED_PGP_AND_WALLET,0.98
P-65aec1c970d5,P-56b0fe878f67,SHARED_PGP_AND_WALLET,0.98
P-3db2ba023d6c,P-56b0fe878f67,SHARED_PGP_AND_WALLET,0.98
P-5706fe298a21,P-bf2b0df99c67,SHARED_PGP_AND_WALLET,0.98
P-5706fe298a21,P-ec7a5f42d21d,SHARED_PGP_AND_WALLET,0.98
P-5706fe298a21,P-6ee7b10d5230,SHARED_PGP_AND_WALLET,0.98
P-5706fe298a21,P-c09e4cf60083,SHARED_PGP_AND_WALLET,0.98
P-bf2b0df99c67,P-ec7a5f42d21d,SHARED_PGP_AND_WALLET,0.98
P-bf2b0df99c67,P-6ee7b10d5230,SHARED_PGP_AND_WALLET,0.98
P-bf2b0df99c67,P-c09e4cf60083,SHARED_PGP_AND_WALLET,0.98
P-ec7a5f42d21d,P-6ee7b10d5230,SHARED_PGP_AND_WALLET,0.98
P-ec7a5f42d21d,P-c09e4cf60083,SHARED_PGP_AND_WALLET,0.98
P-6ee7b10d5230,P-c09e4cf60083,SHARED_PGP_AND_WALLET,0.98
P-1a401a7cea41,P-fcbdc7af28d2,SHARED_PGP_AND_WALLET,0.98
P-1a401a7cea41,P-8f7cbb534f95,SHARED_PGP_AND_WALLET,0.98
P-1a401a7cea41,P-c932f0a1b1e5,SHARED_PGP_AND_WALLET,0.98
P-1a401a7cea41,P-c39d8f7d22a4,SHARED_PGP_AND_WALLET,0.98
P-fcbdc7af28d2,P-8f7cbb534f95,SHARED_PGP_AND_WALLET,0.98
P-fcbdc7af28d2,P-c932f0a1b1e5,SHARED_PGP_AND_WALLET,0.98
P-fcbdc7af28d2,P-c39d8f7d22a4,SHARED_PGP_AND_WALLET,0.98
P-8f7cbb534f95,P-c932f0a1b1e5,SHARED_PGP_AND_WALLET,0.98
P-8f7cbb534f95,P-c39d8f7d22a4,SHARED_PGP_AND_WALLET,0.98
P-c932f0a1b1e5,P-c39d8f7d22a4,SHARED_PGP_AND_WALLET,0.98
P-1233af5d6992,P-5b95b625cd42,SHARED_PGP_AND_WALLET,0.98
P-1233af5d6992,P-4cbb64c7e8f5,SHARED_PGP_AND_WALLET,0.98
P-1233af5d6992,P-5c55de12358f,SHARED_PGP_AND_WALLET,0.98
P-1233af5d6992,P-6a94226c2f7f,SHARED_PGP_AND_WALLET,0.98
P-5b95b625cd42,P-4cbb64c7e8f5,SHARED_PGP_AND_WALLET,0.98
P-5b95b625cd42,P-5c55de12358f,SHARED_PGP_AND_WALLET,0.98
P-5b95b625cd42,P-6a94226c2f7f,SHARED_PGP_AND_WALLET,0.98
P-4cbb64c7e8f5,P-5c55de12358f,SHARED_PGP_AND_WALLET,0.98
P-4cbb64c7e8f5,P-6a94226c2f7f,SHARED_PGP_AND_WALLET,0.98
P-5c55de12358f,P-6a94226c2f7f,SHARED_PGP_AND_WALLET,0.98
P-319c7fcc0410,P-11080d66b975,SHARED_PGP_AND_WALLET,0.98
P-319c7fcc0410,P-f6e7b007b416,SHARED_PGP_AND_WALLET,0.98
P-319c7fcc0410,P-d3f13d4e3a9c,SHARED_PGP_AND_WALLET,0.98
P-319c7fcc0410,P-0c1d5d863919,SHARED_PGP_AND_WALLET,0.98
P-11080d66b975,P-f6e7b007b416,SHARED_PGP_AND_WALLET,0.98
P-11080d66b975,P-d3f13d4e3a9c,SHARED_PGP_AND_WALLET,0.98
P-11080d66b975,P-0c1d5d863919,SHARED_PGP_AND_WALLET,0.98
P-f6e7b007b416,P-d3f13d4e3a9c,SHARED_PGP_AND_WALLET,0.98
P-f6e7b007b416,P-0c1d5d863919,SHARED_PGP_AND_WALLET,0.98
P-d3f13d4e3a9c,P-0c1d5d863919,SHARED_PGP_AND_WALLET,0.98
P-b8bb35b1d9eb,P-e5a7eb5ef7fd,SHARED_PGP_AND_WALLET,0.98
P-b8bb35b1d9eb,P-434c1697c252,SHARED_PGP_AND_WALLET,0.98
P-b8bb35b1d9eb,P-786b79cb95cd,SHARED_PGP_AND_WALLET,0.98
P-b8bb35b1d9eb,P-4796f179e154,SHARED_PGP_AND_WALLET,0.98
P-e5a7eb5ef7fd,P-434c1697c252,SHARED_PGP_AND_WALLET,0.98
P-e5a7eb5ef7fd,P-786b79cb95cd,SHARED_PGP_AND_WALLET,0.98
P-e5a7eb5ef7fd,P-4796f179e154,SHARED_PGP_AND_WALLET,0.98
P-434c1697c252,P-786b79cb95cd,SHARED_PGP_AND_WALLET,0.98
P-434c1697c252,P-4796f179e154,SHARED_PGP_AND_WALLET,0.98
P-786b79cb95cd,P-4796f179e154,SHARED_PGP_AND_WALLET,0.98
P-535cfe16b1c2,P-bf2c59dbb044,SHARED_PGP_AND_WALLET,0.98
P-535cfe16b1c2,P-0933d2d3e4f3,SHARED_PGP_AND_WALLET,0.98
P-535cfe16b1c2,P-d1e3c8369ea4,SHARED_PGP_AND_WALLET,0.98
P-535cfe16b1c2,P-b0328d2c1aa9,SHARED_PGP_AND_WALLET,0.98
P-bf2c59dbb044,P-0933d2d3e4f3,SHARED_PGP_AND_WALLET,0.98
P-bf2c59dbb044,P-d1e3c8369ea4,SHARED_PGP_AND_WALLET,0.98
P-bf2c59dbb044,P-b0328d2c1aa9,SHARED_PGP_AND_WALLET,0.98
P-0933d2d3e4f3,P-d1e3c8369ea4,SHARED_PGP_AND_WALLET,0.98
P-0933d2d3e4f3,P-b0328d2c1aa9,SHARED_PGP_AND_WALLET,0.98
P-d1e3c8369ea4,P-b0328d2c1aa9,SHARED_PGP_AND_WALLET,0.98
P-66cbb65b87ea,P-c7c34a3b5258,SHARED_PGP_AND_WALLET,0.98
P-66cbb65b87ea,P-2df08e8184db,SHARED_PGP_AND_WALLET,0.98
P-66cbb65b87ea,P-66b5f76b2786,SHARED_PGP_AND_WALLET,0.98
P-66cbb65b87ea,P-e98265b32e57,SHARED_PGP_AND_WALLET,0.98
P-c7c34a3b5258,P-2df08e8184db,SHARED_PGP_AND_WALLET,0.98
P-c7c34a3b5258,P-66b5f76b2786,SHARED_PGP_AND_WALLET,0.98
P-c7c34a3b5258,P-e98265b32e57,SHARED_PGP_AND_WALLET,0.98
P-2df08e8184db,P-66b5f76b2786,SHARED_PGP_AND_WALLET,0.98
P-2df08e8184db,P-e98265b32e57,SHARED_PGP_AND_WALLET,0.98
P-66b5f76b2786,P-e98265b32e57,SHARED_PGP_AND_WALLET,0.98
P-78a84d1b8f81,P-b8c4da8adbff,SHARED_PGP_AND_WALLET,0.98
P-78a84d1b8f81,P-ec86af4f3f7c,SHARED_PGP_AND_WALLET,0.98
P-78a84d1b8f81,P-da94c185eba4,SHARED_PGP_AND_WALLET,0.98
P-78a84d1b8f81,P-d94083bc2a06,SHARED_PGP_AND_WALLET,0.98
P-b8c4da8adbff,P-ec86af4f3f7c,SHARED_PGP_AND_WALLET,0.98
P-b8c4da8adbff,P-da94c185eba4,SHARED_PGP_AND_WALLET,0.98
P-b8c4da8adbff,P-d94083bc2a06,SHARED_PGP_AND_WALLET,0.98
P-ec86af4f3f7c,P-da94c185eba4,SHARED_PGP_AND_WALLET,0.98
P-ec86af4f3f7c,P-d94083bc2a06,SHARED_PGP_AND_WALLET,0.98
P-da94c185eba4,P-d94083bc2a06,SHARED_PGP_AND_WALLET,0.98
P-6820d86a2cc7,P-1164afb08bac,SHARED_PGP_AND_WALLET,0.98
P-6820d86a2cc7,P-303ce7937856,SHARED_PGP_AND_WALLET,0.98
P-6820d86a2cc7,P-7180fc6abf71,SHARED_PGP_AND_WALLET,0.98
P-6820d86a2cc7,P-f6cfa99e8789,SHARED_PGP_AND_WALLET,0.98
P-1164afb08bac,P-303ce7937856,SHARED_PGP_AND_WALLET,0.98
P-1164afb08bac,P-7180fc6abf71,SHARED_PGP_AND_WALLET,0.98
P-1164afb08bac,P-f6cfa99e8789,SHARED_PGP_AND_WALLET,0.98
P-303ce7937856,P-7180fc6abf71,SHARED_PGP_AND_WALLET,0.98
P-303ce7937856,P-f6cfa99e8789,SHARED_PGP_AND_WALLET,0.98
P-7180fc6abf71,P-f6cfa99e8789,SHARED_PGP_AND_WALLET,0.98
P-3f98b9040038,P-a64a4ad99253,SHARED_PGP_AND_WALLET,0.98
P-3f98b9040038,P-e9245b185b88,SHARED_PGP_AND_WALLET,0.98
P-3f98b9040038,P-a4aadfad2e2e,SHARED_PGP_AND_WALLET,0.98
P-3f98b9040038,P-01b218eee05d,SHARED_PGP_AND_WALLET,0.98
P-a64a4ad99253,P-e9245b185b88,SHARED_PGP_AND_WALLET,0.98
P-a64a4ad99253,P-a4aadfad2e2e,SHARED_PGP_AND_WALLET,0.98
P-a64a4ad99253,P-01b218eee05d,SHARED_PGP_AND_WALLET,0.98
P-e9245b185b88,P-a4aadfad2e2e,SHARED_PGP_AND_WALLET,0.98
P-e9245b185b88,P-01b218eee05d,SHARED_PGP_AND_WALLET,0.98
P-a4aadfad2e2e,P-01b218eee05d,SHARED_PGP_AND_WALLET,0.98
P-daaf65cbc8e7,P-dbd1274603a9,SHARED_PGP_AND_WALLET,0.98
P-daaf65cbc8e7,P-3bb38bde4205,SHARED_PGP_AND_WALLET,0.98
P-daaf65cbc8e7,P-f096879e0b49,SHARED_PGP_AND_WALLET,0.98
P-daaf65cbc8e7,P-874df6c6c396,SHARED_PGP_AND_WALLET,0.98
P-dbd1274603a9,P-3bb38bde4205,SHARED_PGP_AND_WALLET,0.98
P-dbd1274603a9,P-f096879e0b49,SHARED_PGP_AND_WALLET,0.98
P-dbd1274603a9,P-874df6c6c396,SHARED_PGP_AND_WALLET,0.98
P-3bb38bde4205,P-f096879e0b49,SHARED_PGP_AND_WALLET,0.98
P-3bb38bde4205,P-874df6c6c396,SHARED_PGP_AND_WALLET,0.98
P-f096879e0b49,P-874df6c6c396,SHARED_PGP_AND_WALLET,0.98
P-a357404c15ed,P-24abf16e769e,SHARED_PGP_AND_WALLET,0.98
P-a357404c15ed,P-b4d9251b2fc2,SHARED_PGP_AND_WALLET,0.98
P-a357404c15ed,P-7edb914aff60,SHARED_PGP_AND_WALLET,0.98
P-a357404c15ed,P-f189cf15f2ff,SHARED_PGP_AND_WALLET,0.98
P-24abf16e769e,P-b4d9251b2fc2,SHARED_PGP_AND_WALLET,0.98
P-24abf16e769e,P-7edb914aff60,SHARED_PGP_AND_WALLET,0.98
P-24abf16e769e,P-f189cf15f2ff,SHARED_PGP_AND_WALLET,0.98
P-b4d9251b2fc2,P-7edb914aff60,SHARED_PGP_AND_WALLET,0.98
P-b4d9251b2fc2,P-f189cf15f2ff,SHARED_PGP_AND_WALLET,0.98
P-7edb914aff60,P-f189cf15f2ff,SHARED_PGP_AND_WALLET,0.98
P-e0f89e9be103,P-fff063bad009,SHARED_PGP_AND_WALLET,0.98
P-e0f89e9be103,P-fca9c732579d,SHARED_PGP_AND_WALLET,0.98
P-e0f89e9be103,P-2bfbefbc80e0,SHARED_PGP_AND_WALLET,0.98
P-e0f89e9be103,P-2924bf1fc647,SHARED_PGP_AND_WALLET,0.98
P-fff063bad009,P-fca9c732579d,SHARED_PGP_AND_WALLET,0.98
P-fff063bad009,P-2bfbefbc80e0,SHARED_PGP_AND_WALLET,0.98
P-fff063bad009,P-2924bf1fc647,SHARED_PGP_AND_WALLET,0.98
P-fca9c732579d,P-2bfbefbc80e0,SHARED_PGP_AND_WALLET,0.98
P-fca9c732579d,P-2924bf1fc647,SHARED_PGP_AND_WALLET,0.98
P-2bfbefbc80e0,P-2924bf1fc647,SHARED_PGP_AND_WALLET,0.98
P-1309013019d9,P-44ed004b074b,SHARED_PGP_AND_WALLET,0.98
P-1309013019d9,P-6ceb3f6ed520,SHARED_PGP_AND_WALLET,0.98
P-1309013019d9,P-21ea0996fd25,SHARED_PGP_AND_WALLET,0.98
P-1309013019d9,P-76df8795498a,SHARED_PGP_AND_WALLET,0.98
P-44ed004b074b,P-6ceb3f6ed520,SHARED_PGP_AND_WALLET,0.98
P-44ed004b074b,P-21ea0996fd25,SHARED_PGP_AND_WALLET,0.98
P-44ed004b074b,P-76df8795498a,SHARED_PGP_AND_WALLET,0.98
P-6ceb3f6ed520,P-21ea0996fd25,SHARED_PGP_AND_WALLET,0.98
P-6ceb3f6ed520,P-76df8795498a,SHARED_PGP_AND_WALLET,0.98
P-21ea0996fd25,P-76df8795498a,SHARED_PGP_AND_WALLET,0.98
P-31c22a8c8968,P-b31c4b09d71a,SHARED_PGP_AND_WALLET,0.98
P-31c22a8c8968,P-83280e6d41d0,SHARED_PGP_AND_WALLET,0.98
P-31c22a8c8968,P-4d716e26ad6b,SHARED_PGP_AND_WALLET,0.98
P-b31c4b09d71a,P-83280e6d41d0,SHARED_PGP_AND_WALLET,0.98
P-b31c4b09d71a,P-4d716e26ad6b,SHARED_PGP_AND_WALLET,0.98
P-83280e6d41d0,P-4d716e26ad6b,SHARED_PGP_AND_WALLET,0.98
P-1c5150453636,P-9801743048ba,SHARED_PGP_AND_WALLET,0.98
P-1c5150453636,P-ef4e7e5e36a9,SHARED_PGP_AND_WALLET,0.98
P-1c5150453636,P-090e8fe05644,SHARED_PGP_AND_WALLET,0.98
P-9801743048ba,P-ef4e7e5e36a9,SHARED_PGP_AND_WALLET,0.98
P-9801743048ba,P-090e8fe05644,SHARED_PGP_AND_WALLET,0.98
P-ef4e7e5e36a9,P-090e8fe05644,SHARED_PGP_AND_WALLET,0.98
P-ef427365bd92,P-f055a5c19e19,SHARED_PGP_AND_WALLET,0.98
P-ef427365bd92,P-74a22d5fc32a,SHARED_PGP_AND_WALLET,0.98
P-ef427365bd92,P-cf81cd4bccea,SHARED_PGP_AND_WALLET,0.98
P-f055a5c19e19,P-74a22d5fc32a,SHARED_PGP_AND_WALLET,0.98
P-f055a5c19e19,P-cf81cd4bccea,SHARED_PGP_AND_WALLET,0.98
P-74a22d5fc32a,P-cf81cd4bccea,SHARED_PGP_AND_WALLET,0.98
P-f7bc9815203c,P-598b98b960f8,SHARED_PGP_AND_WALLET,0.98
P-f7bc9815203c,P-7c7b86a0abd5,SHARED_PGP_AND_WALLET,0.98
P-f7bc9815203c,P-38ecbc2e3811,SHARED_PGP_AND_WALLET,0.98
P-598b98b960f8,P-7c7b86a0abd5,SHARED_PGP_AND_WALLET,0.98
P-598b98b960f8,P-38ecbc2e3811,SHARED_PGP_AND_WALLET,0.98
P-7c7b86a0abd5,P-38ecbc2e3811,SHARED_PGP_AND_WALLET,0.98
P-c8e37d175908,P-35824b9d3b78,SHARED_PGP_AND_WALLET,0.98
P-c8e37d175908,P-8e1327d8c1b4,SHARED_PGP_AND_WALLET,0.98
P-c8e37d175908,P-00badace2bcf,SHARED_PGP_AND_WALLET,0.98
P-35824b9d3b78,P-8e1327d8c1b4,SHARED_PGP_AND_WALLET,0.98
P-35824b9d3b78,P-00badace2bcf,SHARED_PGP_AND_WALLET,0.98
P-8e1327d8c1b4,P-00badace2bcf,SHARED_PGP_AND_WALLET,0.98
P-afe6cc21d3bf,P-17e04abf13cc,SHARED_PGP_AND_WALLET,0.98
P-afe6cc21d3bf,P-08c378ee0272,SHARED_PGP_AND_WALLET,0.98
P-afe6cc21d3bf,P-8017fbca2ce9,SHARED_PGP_AND_WALLET,0.98
P-17e04abf13cc,P-08c378ee0272,SHARED_PGP_AND_WALLET,0.98
P-17e04abf13cc,P-8017fbca2ce9,SHARED_PGP_AND_WALLET,0.98
P-08c378ee0272,P-8017fbca2ce9,SHARED_PGP_AND_WALLET,0.98
P-8416997aff96,P-91cc1ef758bd,SHARED_PGP_AND_WALLET,0.98
P-8416997aff96,P-c17c0ac5c7b9,SHARED_PGP_AND_WALLET,0.98
P-8416997aff96,P-01c69c562f9f,SHARED_PGP_AND_WALLET,0.98
P-91cc1ef758bd,P-c17c0ac5c7b9,SHARED_PGP_AND_WALLET,0.98
P-91cc1ef758bd,P-01c69c562f9f,SHARED_PGP_AND_WALLET,0.98
P-c17c0ac5c7b9,P-01c69c562f9f,SHARED_PGP_AND_WALLET,0.98
P-269ff7075aaa,P-322a7afccb10,SHARED_PGP_AND_WALLET,0.98
P-269ff7075aaa,P-e4b9dfabd294,SHARED_PGP_AND_WALLET,0.98
P-269ff7075aaa,P-cd2840e92a5d,SHARED_PGP_AND_WALLET,0.98
P-322a7afccb10,P-e4b9dfabd294,SHARED_PGP_AND_WALLET,0.98
P-322a7afccb10,P-cd2840e92a5d,SHARED_PGP_AND_WALLET,0.98
P-e4b9dfabd294,P-cd2840e92a5d,SHARED_PGP_AND_WALLET,0.98
P-eb915337b17c,P-8d08ffaf51d1,SHARED_PGP_AND_WALLET,0.98
P-eb915337b17c,P-9deaf9eb4beb,SHARED_PGP_AND_WALLET,0.98
P-eb915337b17c,P-e0c1b254fa95,SHARED_PGP_AND_WALLET,0.98
P-8d08ffaf51d1,P-9deaf9eb4beb,SHARED_PGP_AND_WALLET,0.98
P-8d08ffaf51d1,P-e0c1b254fa95,SHARED_PGP_AND_WALLET,0.98
P-9deaf9eb4beb,P-e0c1b254fa95,SHARED_PGP_AND_WALLET,0.98
P-8551dc5ea841,P-5ead5052aa88,SHARED_PGP_AND_WALLET,0.98
P-8551dc5ea841,P-35abcfa1febc,SHARED_PGP_AND_WALLET,0.98
P-8551dc5ea841,P-72aef17eab49,SHARED_PGP_AND_WALLET,0.98
P-5ead5052aa88,P-35abcfa1febc,SHARED_PGP_AND_WALLET,0.98
P-5ead5052aa88,P-72aef17eab49,SHARED_PGP_AND_WALLET,0.98
P-35abcfa1febc,P-72aef17eab49,SHARED_PGP_AND_WALLET,0.98
P-be0c41f91a40,P-7673af62dd6e,SHARED_PGP_AND_WALLET,0.98
P-be0c41f91a40,P-3b0f5b7780ff,SHARED_PGP_AND_WALLET,0.98
P-be0c41f91a40,P-d9a6d7d85296,SHARED_PGP_AND_WALLET,0.98
P-7673af62dd6e,P-3b0f5b7780ff,SHARED_PGP_AND_WALLET,0.98
P-7673af62dd6e,P-d9a6d7d85296,SHARED_PGP_AND_WALLET,0.98
P-3b0f5b7780ff,P-d9a6d7d85296,SHARED_PGP_AND_WALLET,0.98
P-8e270afe1e36,P-8985c86540d9,SHARED_PGP_AND_WALLET,0.98
P-8e270afe1e36,P-4341c02f23e1,SHARED_PGP_AND_WALLET,0.98
P-8e270afe1e36,P-c8c1b6870df4,SHARED_PGP_AND_WALLET,0.98
P-8985c86540d9,P-4341c02f23e1,SHARED_PGP_AND_WALLET,0.98
P-8985c86540d9,P-c8c1b6870df4,SHARED_PGP_AND_WALLET,0.98
P-4341c02f23e1,P-c8c1b6870df4,SHARED_PGP_AND_WALLET,0.98
P-eff87e48a611,P-52a16feddd6a,SHARED_PGP_AND_WALLET,0.98
P-eff87e48a611,P-116856fd89fd,SHARED_PGP_AND_WALLET,0.98
P-eff87e48a611,P-3a0fc68a856a,SHARED_PGP_AND_WALLET,0.98
P-52a16feddd6a,P-116856fd89fd,SHARED_PGP_AND_WALLET,0.98
P-52a16feddd6a,P-3a0fc68a856a,SHARED_PGP_AND_WALLET,0.98
P-116856fd89fd,P-3a0fc68a856a,SHARED_PGP_AND_WALLET,0.98
P-d36d5d0095ac,P-4ac51cc9b359,SHARED_PGP_AND_WALLET,0.98
P-d36d5d0095ac,P-8ebad7cadfd2,SHARED_PGP_AND_WALLET,0.98
P-d36d5d0095ac,P-62e45ecab264,SHARED_PGP_AND_WALLET,0.98
P-4ac51cc9b359,P-8ebad7cadfd2,SHARED_PGP_AND_WALLET,0.98
P-4ac51cc9b359,P-62e45ecab264,SHARED_PGP_AND_WALLET,0.98
P-8ebad7cadfd2,P-62e45ecab264,SHARED_PGP_AND_WALLET,0.98
P-e1ee1b24b709,P-4e161d4df0e2,SHARED_PGP_AND_WALLET,0.98
P-e1ee1b24b709,P-4a872584b235,SHARED_PGP_AND_WALLET,0.98
P-e1ee1b24b709,P-4611ea65d6c0,SHARED_PGP_AND_WALLET,0.98
P-4e161d4df0e2,P-4a872584b235,SHARED_PGP_AND_WALLET,0.98
P-4e161d4df0e2,P-4611ea65d6c0,SHARED_PGP_AND_WALLET,0.98
P-4a872584b235,P-4611ea65d6c0,SHARED_PGP_AND_WALLET,0.98
P-5a602996c472,P-3dc57f1f3c8f,SHARED_PGP_AND_WALLET,0.98
P-5a602996c472,P-0b72701ad774,SHARED_PGP_AND_WALLET,0.98
P-5a602996c472,P-3e22d245f75d,SHARED_PGP_AND_WALLET,0.98
P-3dc57f1f3c8f,P-0b72701ad774,SHARED_PGP_AND_WALLET,0.98
P-3dc57f1f3c8f,P-3e22d245f75d,SHARED_PGP_AND_WALLET,0.98
P-0b72701ad774,P-3e22d245f75d,SHARED_PGP_AND_WALLET,0.98
P-4b5adb6f0fb8,P-1df87823e83e,SHARED_PGP_AND_WALLET,0.98
P-4b5adb6f0fb8,P-2bbb1c5e8df9,SHARED_PGP_AND_WALLET,0.98
P-4b5adb6f0fb8,P-dd0b5b75af90,SHARED_PGP_AND_WALLET,0.98
P-1df87823e83e,P-2bbb1c5e8df9,SHARED_PGP_AND_WALLET,0.98
P-1df87823e83e,P-dd0b5b75af90,SHARED_PGP_AND_WALLET,0.98
P-2bbb1c5e8df9,P-dd0b5b75af90,SHARED_PGP_AND_WALLET,0.98
P-014cd3e38614,P-790ce6ed8635,SHARED_PGP_AND_WALLET,0.98
P-014cd3e38614,P-2aef36cce55c,SHARED_PGP_AND_WALLET,0.98
P-014cd3e38614,P-ee5fe2c7527a,SHARED_PGP_AND_WALLET,0.98
P-790ce6ed8635,P-2aef36cce55c,SHARED_PGP_AND_WALLET,0.98
P-790ce6ed8635,P-ee5fe2c7527a,SHARED_PGP_AND_WALLET,0.98
P-2aef36cce55c,P-ee5fe2c7527a,SHARED_PGP_AND_WALLET,0.98
P-6c7868c66f7c,P-ea2b8176d96c,SHARED_PGP_AND_WALLET,0.98
P-6c7868c66f7c,P-bdc543643ef4,SHARED_PGP_AND_WALLET,0.98
P-6c7868c66f7c,P-782c01e26cf0,SHARED_PGP_AND_WALLET,0.98
P-ea2b8176d96c,P-bdc543643ef4,SHARED_PGP_AND_WALLET,0.98
P-ea2b8176d96c,P-782c01e26cf0,SHARED_PGP_AND_WALLET,0.98
P-bdc543643ef4,P-782c01e26cf0,SHARED_PGP_AND_WALLET,0.98
P-cfc4fc9a03e9,P-1e6a043bd5a3,SHARED_PGP_AND_WALLET,0.98
P-cfc4fc9a03e9,P-f27e294ee88f,SHARED_PGP_AND_WALLET,0.98
P-cfc4fc9a03e9,P-1c82ae9689e4,SHARED_PGP_AND_WALLET,0.98
P-1e6a043bd5a3,P-f27e294ee88f,SHARED_PGP_AND_WALLET,0.98
P-1e6a043bd5a3,P-1c82ae9689e4,SHARED_PGP_AND_WALLET,0.98
P-f27e294ee88f,P-1c82ae9689e4,SHARED_PGP_AND_WALLET,0.98
P-ad36d47f5e01,P-57736d6bc048,SHARED_PGP_AND_WALLET,0.98
P-ad36d47f5e01,P-9cc6aff1a8b6,SHARED_PGP_AND_WALLET,0.98
P-ad36d47f5e01,P-2cdaf869c491,SHARED_PGP_AND_WALLET,0.98
P-57736d6bc048,P-9cc6aff1a8b6,SHARED_PGP_AND_WALLET,0.98
P-57736d6bc048,P-2cdaf869c491,SHARED_PGP_AND_WALLET,0.98
P-9cc6aff1a8b6,P-2cdaf869c491,SHARED_PGP_AND_WALLET,0.98
P-72b160596b3e,P-2ef845d53dd9,SHARED_PGP_AND_WALLET,0.98
P-72b160596b3e,P-a84e8a392d27,SHARED_PGP_AND_WALLET,0.98
P-72b160596b3e,P-5071cd549f81,SHARED_PGP_AND_WALLET,0.98
P-2ef845d53dd9,P-a84e8a392d27,SHARED_PGP_AND_WALLET,0.98
P-2ef845d53dd9,P-5071cd549f81,SHARED_PGP_AND_WALLET,0.98
P-a84e8a392d27,P-5071cd549f81,SHARED_PGP_AND_WALLET,0.98
P-3c531ab86768,P-75fb7f3c98f3,SHARED_PGP_AND_WALLET,0.98
P-3c531ab86768,P-fddb7891e331,SHARED_PGP_AND_WALLET,0.98
P-3c531ab86768,P-c7f25a34c362,SHARED_PGP_AND_WALLET,0.98
P-75fb7f3c98f3,P-fddb7891e331,SHARED_PGP_AND_WALLET,0.98
P-75fb7f3c98f3,P-c7f25a34c362,SHARED_PGP_AND_WALLET,0.98
P-fddb7891e331,P-c7f25a34c362,SHARED_PGP_AND_WALLET,0.98
P-069a62f7e913,P-19ed85f98bb0,SHARED_PGP_AND_WALLET,0.98
P-069a62f7e913,P-762520938e2c,SHARED_PGP_AND_WALLET,0.98
P-069a62f7e913,P-e1f63dd2a859,SHARED_PGP_AND_WALLET,0.98
P-19ed85f98bb0,P-762520938e2c,SHARED_PGP_AND_WALLET,0.98
P-19ed85f98bb0,P-e1f63dd2a859,SHARED_PGP_AND_WALLET,0.98
P-762520938e2c,P-e1f63dd2a859,SHARED_PGP_AND_WALLET,0.98
P-d0c5ca551b37,P-fe2716518a41,SHARED_PGP_AND_WALLET,0.98
P-d0c5ca551b37,P-d6c918354fd6,SHARED_PGP_AND_WALLET,0.98
P-d0c5ca551b37,P-b88ef5d0f1f1,SHARED_PGP_AND_WALLET,0.98
P-fe2716518a41,P-d6c918354fd6,SHARED_PGP_AND_WALLET,0.98
P-fe2716518a41,P-b88ef5d0f1f1,SHARED_PGP_AND_WALLET,0.98
