Category,Experiment,Model,Model_Status,Feature_Count,Threshold,Evaluation_Protocol,Dataset_Split,Metric,Value,Unit,Notes
1. BASELINE MODEL,Frozen 17-Feature Baseline,RandomForestClassifier,Historical Baseline,17,0.5,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set,True_Negatives,261,count,Non-relationships correctly identified as negative
1. BASELINE MODEL,Frozen 17-Feature Baseline,RandomForestClassifier,Historical Baseline,17,0.5,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set,False_Positives,34,count,Negative pairs incorrectly predicted as positive
1. BASELINE MODEL,Frozen 17-Feature Baseline,RandomForestClassifier,Historical Baseline,17,0.5,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set,False_Negatives,189,count,Ground-truth positive links missed by the model
1. BASELINE MODEL,Frozen 17-Feature Baseline,RandomForestClassifier,Historical Baseline,17,N/A,Edge-Holdout (Strict Zero-Leakage),5-Fold Cross-Validation (Training Split),CV_ROC_AUC_Mean,0.6571,score,5-fold edge-level cross-validation ROC-AUC mean
1. BASELINE MODEL,Frozen 17-Feature Baseline,RandomForestClassifier,Historical Baseline,17,N/A,Edge-Holdout (Strict Zero-Leakage),5-Fold Cross-Validation (Training Split),CV_ROC_AUC_Std,0.0173,score,Standard deviation of 5-fold CV ROC-AUC
1. BASELINE MODEL,Frozen 17-Feature Baseline,RandomForestClassifier,Historical Baseline,17,N/A,Edge-Holdout (Strict Zero-Leakage),5-Fold Cross-Validation (Training Split),CV_PR_AUC_Mean,0.6619,score,5-fold edge-level CV PR-AUC mean
1. BASELINE MODEL,Frozen 17-Feature Baseline,RandomForestClassifier,Historical Baseline,17,N/A,Edge-Holdout (Strict Zero-Leakage),5-Fold Cross-Validation (Training Split),CV_PR_AUC_Std,0.0216,score,Standard deviation of 5-fold CV PR-AUC
1. BASELINE MODEL,Frozen 17-Feature Baseline,RandomForestClassifier,Historical Baseline,17,N/A,Edge-Holdout (Strict Zero-Leakage),5-Fold Cross-Validation (Training Split),CV_F1_Mean,0.4761,score,5-fold edge-level CV F1 score mean
1. BASELINE MODEL,Frozen 17-Feature Baseline,RandomForestClassifier,Historical Baseline,17,N/A,Edge-Holdout (Strict Zero-Leakage),5-Fold Cross-Validation (Training Split),CV_F1_Std,0.0352,score,Standard deviation of 5-fold CV F1 score
1. BASELINE MODEL,Frozen 17-Feature Baseline,RandomForestClassifier,Historical Baseline,17,N/A,Edge-Holdout (Strict Zero-Leakage),5-Fold Cross-Validation (Training Split),CV_Precision_Mean,0.7368,ratio,5-fold edge-level CV precision mean
1. BASELINE MODEL,Frozen 17-Feature Baseline,RandomForestClassifier,Historical Baseline,17,N/A,Edge-Holdout (Strict Zero-Leakage),5-Fold Cross-Validation (Training Split),CV_Recall_Mean,0.3525,ratio,5-fold edge-level CV recall mean
1. BASELINE MODEL,Frozen 17-Feature Baseline,RandomForestClassifier,Historical Baseline,17,N/A,Edge-Holdout (Strict Zero-Leakage),5-Fold Cross-Validation (Training Split),CV_Accuracy_Mean,0.6136,ratio,5-fold edge-level CV accuracy mean
2. CHAMPION MODEL,Production 14-Feature Champion,RandomForestClassifier,Production Champion,14,0.5,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set,Accuracy,0.6203,ratio,Test accuracy on 590 unseen held-out samples
2. CHAMPION MODEL,Production 14-Feature Champion,RandomForestClassifier,Production Champion,14,0.5,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set,Precision,0.6766,ratio,Test precision at default threshold tau=0.50
2. CHAMPION MODEL,Production 14-Feature Champion,RandomForestClassifier,Production Champion,14,0.5,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set,Recall,0.461,ratio,Test recall (sensitivity) at default threshold tau=0.50
2. CHAMPION MODEL,Production 14-Feature Champion,RandomForestClassifier,Production Champion,14,0.5,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set,F1_Score,0.5484,score,Harmonic mean of precision and recall on test set
2. CHAMPION MODEL,Production 14-Feature Champion,RandomForestClassifier,Production Champion,14,0.5,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set,Specificity,0.7797,ratio,True negative rate on test set at tau=0.50
2. CHAMPION MODEL,Production 14-Feature Champion,RandomForestClassifier,Production Champion,14,0.5,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set,MCC,0.2539,coefficient,Matthews Correlation Coefficient on test set
2. CHAMPION MODEL,Production 14-Feature Champion,RandomForestClassifier,Production Champion,14,N/A,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set,ROC_AUC,0.651,score,Area Under the Receiver Operating Characteristic Curve
2. CHAMPION MODEL,Production 14-Feature Champion,RandomForestClassifier,Production Champion,14,N/A,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set,PR_AUC,0.6871,score,Area Under the Precision-Recall Curve / Average Precision
2. CHAMPION MODEL,Production 14-Feature Champion,RandomForestClassifier,Production Champion,14,N/A,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set,Log_Loss,0.657,loss,Binary cross-entropy loss on test set probabilities
2. CHAMPION MODEL,Production 14-Feature Champion,RandomForestClassifier,Production Champion,14,0.5,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set,True_Positives,136,count,Genuine positive relationships correctly identified
2. CHAMPION MODEL,Production 14-Feature Champion,RandomForestClassifier,Production Champion,14,0.5,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set,True_Negatives,230,count,Non-relationships correctly identified as negative
2. CHAMPION MODEL,Production 14-Feature Champion,RandomForestClassifier,Production Champion,14,0.5,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set,False_Positives,65,count,Negative pairs incorrectly predicted as positive
2. CHAMPION MODEL,Production 14-Feature Champion,RandomForestClassifier,Production Champion,14,0.5,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set,False_Negatives,159,count,Ground-truth positive links missed by the model
2. CHAMPION MODEL,Production 14-Feature Champion,RandomForestClassifier,Production Champion,14,N/A,Edge-Holdout (Strict Zero-Leakage),5-Fold Cross-Validation (Training Split),CV_ROC_AUC_Mean,0.6612,score,5-fold edge-level cross-validation ROC-AUC mean
2. CHAMPION MODEL,Production 14-Feature Champion,RandomForestClassifier,Production Champion,14,N/A,Edge-Holdout (Strict Zero-Leakage),5-Fold Cross-Validation (Training Split),CV_ROC_AUC_Std,0.0134,score,Standard deviation of 5-fold CV ROC-AUC
2. CHAMPION MODEL,Production 14-Feature Champion,RandomForestClassifier,Production Champion,14,N/A,Edge-Holdout (Strict Zero-Leakage),5-Fold Cross-Validation (Training Split),CV_PR_AUC_Mean,0.6997,score,5-fold edge-level CV PR-AUC mean
2. CHAMPION MODEL,Production 14-Feature Champion,RandomForestClassifier,Production Champion,14,N/A,Edge-Holdout (Strict Zero-Leakage),5-Fold Cross-Validation (Training Split),CV_PR_AUC_Std,0.0196,score,Standard deviation of 5-fold CV PR-AUC
2. CHAMPION MODEL,Production 14-Feature Champion,RandomForestClassifier,Production Champion,14,N/A,Edge-Holdout (Strict Zero-Leakage),5-Fold Cross-Validation (Training Split),CV_F1_Mean,0.5569,score,5-fold edge-level CV F1 score mean
2. CHAMPION MODEL,Production 14-Feature Champion,RandomForestClassifier,Production Champion,14,N/A,Edge-Holdout (Strict Zero-Leakage),5-Fold Cross-Validation (Training Split),CV_F1_Std,0.0208,score,Standard deviation of 5-fold CV F1 score
2. CHAMPION MODEL,Production 14-Feature Champion,RandomForestClassifier,Production Champion,14,N/A,Edge-Holdout (Strict Zero-Leakage),5-Fold Cross-Validation (Training Split),CV_Precision_Mean,0.7013,ratio,5-fold edge-level CV precision mean
2. CHAMPION MODEL,Production 14-Feature Champion,RandomForestClassifier,Production Champion,14,N/A,Edge-Holdout (Strict Zero-Leakage),5-Fold Cross-Validation (Training Split),CV_Recall_Mean,0.4627,ratio,5-fold edge-level CV recall mean
2. CHAMPION MODEL,Production 14-Feature Champion,RandomForestClassifier,Production Champion,14,N/A,Edge-Holdout (Strict Zero-Leakage),5-Fold Cross-Validation (Training Split),CV_Accuracy_Mean,0.6322,ratio,5-fold edge-level CV accuracy mean
2. CHAMPION MODEL,Production 14-Feature Champion,RandomForestClassifier,Production Champion,14,N/A,Edge-Holdout (Strict Zero-Leakage),5-Fold Cross-Validation (Training Split),CV_MCC_Mean,0.2816,coefficient,5-fold edge-level CV MCC mean
3. BASELINE VS CHAMPION,Baseline vs Champion Delta,RandomForestClassifier,Comparison,17 vs 14,N/A,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set & CV,Delta_Test_ROC_AUC,0.0116,delta_score,Absolute increase in test ROC-AUC (0.6394 -> 0.6510)
3. BASELINE VS CHAMPION,Baseline vs Champion Delta,RandomForestClassifier,Comparison,17 vs 14,N/A,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set & CV,Delta_Test_PR_AUC,0.0152,delta_score,Absolute increase in test PR-AUC (0.6719 -> 0.6871)
3. BASELINE VS CHAMPION,Baseline vs Champion Delta,RandomForestClassifier,Comparison,17 vs 14,N/A,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set & CV,Delta_Test_Recall_at_0_50,0.1017,delta_ratio,"Absolute increase in test recall at tau=0.50 (35.93% -> 46.10%, +30 links found)"
3. BASELINE VS CHAMPION,Baseline vs Champion Delta,RandomForestClassifier,Comparison,17 vs 14,N/A,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set & CV,Delta_Test_Precision_at_0_50,-0.0805,delta_ratio,Change in test precision at tau=0.50 (75.71% -> 67.66%)
3. BASELINE VS CHAMPION,Baseline vs Champion Delta,RandomForestClassifier,Comparison,17 vs 14,N/A,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set & CV,Delta_Test_F1_at_0_50,0.061,delta_score,"Absolute increase in test F1 score at tau=0.50 (0.4874 -> 0.5484, +12.5% relative)"
3. BASELINE VS CHAMPION,Baseline vs Champion Delta,RandomForestClassifier,Comparison,17 vs 14,N/A,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set & CV,Delta_Test_Log_Loss,-0.0678,delta_loss,Improvement in probability calibration (0.7248 -> 0.6570)
3. BASELINE VS CHAMPION,Baseline vs Champion Delta,RandomForestClassifier,Comparison,17 vs 14,N/A,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set & CV,Delta_CV_ROC_AUC,0.0041,delta_score,CV ROC-AUC change across 5 folds (0.6571 -> 0.6612)
3. BASELINE VS CHAMPION,Baseline vs Champion Delta,RandomForestClassifier,Comparison,17 vs 14,N/A,Edge-Holdout (Strict Zero-Leakage),Held-Out Test Set & CV,Delta_CV_PR_AUC,0.0378,delta_score,"CV PR-AUC change across 5 folds (0.6619 -> 0.6997, +5.7% relative)"
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.20,RandomForestClassifier,Production Champion,14,0.2,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Precision,0.5032,ratio,Out-of-fold validation metric evaluated at threshold 0.20
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.20,RandomForestClassifier,Production Champion,14,0.2,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Recall,0.9856,ratio,Out-of-fold validation metric evaluated at threshold 0.20
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.20,RandomForestClassifier,Production Champion,14,0.2,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_F1_Score,0.6663,score,Out-of-fold validation metric evaluated at threshold 0.20
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.20,RandomForestClassifier,Production Champion,14,0.2,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Specificity,0.0271,ratio,Out-of-fold validation metric evaluated at threshold 0.20
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.20,RandomForestClassifier,Production Champion,14,0.2,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_MCC,0.0446,coefficient,Out-of-fold validation metric evaluated at threshold 0.20
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.20,RandomForestClassifier,Production Champion,14,0.2,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_TP,1163,count,Out-of-fold validation metric evaluated at threshold 0.20
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.20,RandomForestClassifier,Production Champion,14,0.2,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_TN,32,count,Out-of-fold validation metric evaluated at threshold 0.20
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.20,RandomForestClassifier,Production Champion,14,0.2,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_FP,1148,count,Out-of-fold validation metric evaluated at threshold 0.20
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.20,RandomForestClassifier,Production Champion,14,0.2,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_FN,17,count,Out-of-fold validation metric evaluated at threshold 0.20
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.25,RandomForestClassifier,Production Champion,14,0.25,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Precision,0.507,ratio,Out-of-fold validation metric evaluated at threshold 0.25
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.25,RandomForestClassifier,Production Champion,14,0.25,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Recall,0.9458,ratio,Out-of-fold validation metric evaluated at threshold 0.25
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.25,RandomForestClassifier,Production Champion,14,0.25,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_F1_Score,0.6602,score,Out-of-fold validation metric evaluated at threshold 0.25
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.25,RandomForestClassifier,Production Champion,14,0.25,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Specificity,0.0805,ratio,Out-of-fold validation metric evaluated at threshold 0.25
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.25,RandomForestClassifier,Production Champion,14,0.25,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_MCC,0.0524,coefficient,Out-of-fold validation metric evaluated at threshold 0.25
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.25,RandomForestClassifier,Production Champion,14,0.25,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_TP,1116,count,Out-of-fold validation metric evaluated at threshold 0.25
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.25,RandomForestClassifier,Production Champion,14,0.25,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_TN,95,count,Out-of-fold validation metric evaluated at threshold 0.25
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.25,RandomForestClassifier,Production Champion,14,0.25,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_FP,1085,count,Out-of-fold validation metric evaluated at threshold 0.25
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.25,RandomForestClassifier,Production Champion,14,0.25,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_FN,64,count,Out-of-fold validation metric evaluated at threshold 0.25
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.30,RandomForestClassifier,Production Champion,14,0.3,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Precision,0.5181,ratio,Out-of-fold validation metric evaluated at threshold 0.30
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.30,RandomForestClassifier,Production Champion,14,0.3,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Recall,0.8983,ratio,Out-of-fold validation metric evaluated at threshold 0.30
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.30,RandomForestClassifier,Production Champion,14,0.3,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_F1_Score,0.6572,score,Out-of-fold validation metric evaluated at threshold 0.30
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.30,RandomForestClassifier,Production Champion,14,0.3,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Specificity,0.1644,ratio,Out-of-fold validation metric evaluated at threshold 0.30
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.30,RandomForestClassifier,Production Champion,14,0.3,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_MCC,0.0923,coefficient,Out-of-fold validation metric evaluated at threshold 0.30
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.30,RandomForestClassifier,Production Champion,14,0.3,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_TP,1060,count,Out-of-fold validation metric evaluated at threshold 0.30
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.30,RandomForestClassifier,Production Champion,14,0.3,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_TN,194,count,Out-of-fold validation metric evaluated at threshold 0.30
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.30,RandomForestClassifier,Production Champion,14,0.3,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_FP,986,count,Out-of-fold validation metric evaluated at threshold 0.30
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.30,RandomForestClassifier,Production Champion,14,0.3,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_FN,120,count,Out-of-fold validation metric evaluated at threshold 0.30
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.35,RandomForestClassifier,Production Champion,14,0.35,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Precision,0.5362,ratio,Out-of-fold validation metric evaluated at threshold 0.35
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.35,RandomForestClassifier,Production Champion,14,0.35,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Recall,0.8042,ratio,Out-of-fold validation metric evaluated at threshold 0.35
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.35,RandomForestClassifier,Production Champion,14,0.35,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_F1_Score,0.6434,score,Out-of-fold validation metric evaluated at threshold 0.35
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.35,RandomForestClassifier,Production Champion,14,0.35,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Specificity,0.3042,ratio,Out-of-fold validation metric evaluated at threshold 0.35
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.35,RandomForestClassifier,Production Champion,14,0.35,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_MCC,0.1253,coefficient,Out-of-fold validation metric evaluated at threshold 0.35
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.35,RandomForestClassifier,Production Champion,14,0.35,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_TP,949,count,Out-of-fold validation metric evaluated at threshold 0.35
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.35,RandomForestClassifier,Production Champion,14,0.35,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_TN,359,count,Out-of-fold validation metric evaluated at threshold 0.35
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.35,RandomForestClassifier,Production Champion,14,0.35,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_FP,821,count,Out-of-fold validation metric evaluated at threshold 0.35
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.35,RandomForestClassifier,Production Champion,14,0.35,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_FN,231,count,Out-of-fold validation metric evaluated at threshold 0.35
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.40,RandomForestClassifier,Production Champion,14,0.4,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Precision,0.5797,ratio,Out-of-fold validation metric evaluated at threshold 0.40
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.40,RandomForestClassifier,Production Champion,14,0.4,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Recall,0.6907,ratio,Out-of-fold validation metric evaluated at threshold 0.40
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.40,RandomForestClassifier,Production Champion,14,0.4,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_F1_Score,0.6303,score,Out-of-fold validation metric evaluated at threshold 0.40
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.40,RandomForestClassifier,Production Champion,14,0.4,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Specificity,0.4992,ratio,Out-of-fold validation metric evaluated at threshold 0.40
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.40,RandomForestClassifier,Production Champion,14,0.4,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_MCC,0.1934,coefficient,Out-of-fold validation metric evaluated at threshold 0.40
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.40,RandomForestClassifier,Production Champion,14,0.4,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_TP,815,count,Out-of-fold validation metric evaluated at threshold 0.40
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.40,RandomForestClassifier,Production Champion,14,0.4,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_TN,589,count,Out-of-fold validation metric evaluated at threshold 0.40
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.40,RandomForestClassifier,Production Champion,14,0.4,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_FP,591,count,Out-of-fold validation metric evaluated at threshold 0.40
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.40,RandomForestClassifier,Production Champion,14,0.4,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_FN,365,count,Out-of-fold validation metric evaluated at threshold 0.40
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.45,RandomForestClassifier,Production Champion,14,0.45,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Precision,0.6374,ratio,Out-of-fold validation metric evaluated at threshold 0.45
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.45,RandomForestClassifier,Production Champion,14,0.45,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Recall,0.5661,ratio,Out-of-fold validation metric evaluated at threshold 0.45
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.45,RandomForestClassifier,Production Champion,14,0.45,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_F1_Score,0.5996,score,Out-of-fold validation metric evaluated at threshold 0.45
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.45,RandomForestClassifier,Production Champion,14,0.45,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Specificity,0.678,ratio,Out-of-fold validation metric evaluated at threshold 0.45
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.45,RandomForestClassifier,Production Champion,14,0.45,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_MCC,0.2456,coefficient,Out-of-fold validation metric evaluated at threshold 0.45
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.45,RandomForestClassifier,Production Champion,14,0.45,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_TP,668,count,Out-of-fold validation metric evaluated at threshold 0.45
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.45,RandomForestClassifier,Production Champion,14,0.45,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_TN,800,count,Out-of-fold validation metric evaluated at threshold 0.45
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.45,RandomForestClassifier,Production Champion,14,0.45,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_FP,380,count,Out-of-fold validation metric evaluated at threshold 0.45
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.45,RandomForestClassifier,Production Champion,14,0.45,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_FN,512,count,Out-of-fold validation metric evaluated at threshold 0.45
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.50,RandomForestClassifier,Production Champion,14,0.5,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Precision,0.7,ratio,Out-of-fold validation metric evaluated at threshold 0.50
4. THRESHOLD ANALYSIS,OOF Sensitivity @ tau=0.50,RandomForestClassifier,Production Champion,14,0.5,Graph-Aware 5-Fold OOF,Out-Of-Fold Validation (Training Split),OOF_Recall,0.4627,ratio,Out-of-fold validation metric evaluated at threshold 0.50
